제목,날짜,분류,본문,반응수
새만금개발청장에게 임명장 수여하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 김경안 새만금개발청장에게 임명장을 전달한 뒤 손잡고 있다. 2023.8.1,0
"오송참사 유가족협 ""모레 충북지사 등 중대재해법 위반 고소""",20230801,사회,"오송 지하차도 참사 유가족협의회가 김영환 충북지사와 이범석 청주시장 등을 중대재해 처벌 등에 관한 법률(중대재해처벌법) 위반 혐의로 검찰에 고소하기로 했다. 오송 지하차도 참사 유가족협의회 진상규명 호소[연합뉴스 자료사진]이경구 유가족협의회 대표는 1일 연합뉴스 통화에서 ""국무조정실의 수사 의뢰 대상에 충북지사, 청주시장 등 단체장이 빠지는 것은 말이 안 된다""며 ""유가족들의 동의를 받아 오는 3일 청주지검에 직접 고소장을 제출할 계획""이라고 밝혔다.     고소 대상에는 이상래 행정중심복합도시건설청장도 포함된다.     유가족협의회는 중대재해처벌법상 중대시민재해 조항을 적용해 고소할 것으로 알려졌다.    앞서 지난달 19일 충북시민사회단체연대회의는 김 지사 등 3명을 중대재해처벌법 위반 혐의로 충북경찰청에 고발한 바 있다.     경찰이 수사 중복 등의 이유로 해당 고발 건을 검찰에 넘긴 만큼 관련 수사는 청주지검에서 이뤄질 것으로 보인다.     청주지검 관계자는 ""사고원인을 철저히 규명해 상응하는 책임을 묻겠다""고 말했다.     지난달 15일 청주시 흥덕구 오송읍 궁평2지하차도에서는 폭우로 미호강 제방이 터지면서 하천수가 유입돼 시내버스 등 차량 17대가 침수됐다. 이 사고로 14명이 숨지고 10명이 다쳤다.    국조실은 사고와 관련해 충북도, 청주시, 행복청, 충북경찰청, 충북소방본부 등 관계자 36명을 검찰에 수사 의뢰했다.    수사 의뢰와 별도로 과실이 확인된 5개 기관 공직자 63명에 대해서는 소속기관에 통보해 징계 등 조치하게 할 예정이다.    검찰은 이들 기관과 미호천교 임시제방 시공 업체 등을 압수수색 했으며 이를 통해 확보한 자료를 바탕으로 수사를 진행하고 있다.",14
대도시권광역교통위원장과 기념 촬영하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 강희업 대도시권광역교통위원회 위원장에게 임명장을 전달한 뒤 기념 촬영을 하고 있다. 2023.8.1,0
통계청장에게 임명장 수여하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 이형일 통계청장에게 임명장을 전달한 뒤 손잡고 있다. 2023.8.1,0
통계청장과 기념 촬영하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 이형일 통계청장에게 임명장을 전달한 뒤 기념 촬영을 하고 있다. 2023.8.1,0
조달청장과 기념 촬영하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 김윤상 조달청장에게 임명장을 전달한 뒤 기념 촬영을 하고 있다. 2023.8.1,0
"노동장관 ""살인적 폭염…열사병 위험 있으면 작업 중지해야""(종합)",20230801,사회,"오픈채팅방 '중대재해 사이렌'에서도 폭염 관련 안전 수칙 안내    '폭염 대응 긴급 지방관서장 회의'에서 발언하는 이정식 장관[고용노동부 제공]      이정식 고용노동부 장관은 1일 ""극심한 폭염에 따라 열사병 등 온열질환 발생의 급박한 위험이 있는 경우 사업주가 작업중지권을 행사해 근로자의 건강장해 예방에 만전을 기해야 한다""고 밝혔다.    이 장관은 이날 오후 서울지방고용노동청에서 주재한 '폭염 대응 긴급 지방관서장 회의'에서 ""올해의 폭염은 전 세계적으로 사막의 선인장도 말라 죽일 정도의 살인적 폭염으로, 우리나라도 상황이 다르지 않다""며 이같이 말했다.    산업안전보건법 제51조에 따르면 사업주는 산업재해가 발생할 급박한 위험이 있을 때는 즉시 작업을 중지시키고 근로자를 대피시키는 등 필요한 조치를 해야 한다.    노동부는 이날 폭염에 대비한 비상 체계를 최고 수준으로 끌어올렸다.    이 장관은 ""8월 한 달 동안 가용할 수 있는 전국의 산업안전 인력과 자원을 총동원해 폭염 대응에 총력을 기울여야 한다""며 ""물과 그늘, 휴식 등 온열질환 예방 3대 기본 수칙뿐 아니라 폭염에 따른 단계별 대응 요령도 현장에서 준수될 수 있도록 적극적으로 지도해야 한다""고 강조했다.    그는 영상으로 회의에 참석한 지방 청장·지청장들에게 ""폭염에 취약한 소규모 건설 현장을 적극적으로 예찰해달라""며 ""콘크리트 타설 등 작업 강도가 특히 높은 작업에 종사하는 근로자들의 건강을 세심하게 챙겨달라""고 당부했다.    이 장관은 창고형 대형마트인 코스트코의 20대 근로자가 폭염에서 일하다 숨진 사고와 관련해 ""국민적 우려가 높은 것을 잘 알고 있다""며 ""사고 원인과 관계 법령 위반 여부 등을 철저히 조사하고, 그 결과 법 위반이 확인되면 엄정히 조치해달라""고 말했다.    앞서 A(29) 씨는 지난 6월 19일 오후 7시께 코스트코 하남점 주차장에서 카트 및 주차 관리 업무를 하던 중 갑자기 쓰러져 병원으로 옮겨졌으나 끝내 숨졌다. 이 사건은 노동부 경기지청 광역중대재해수사과가 조사 중이다.    이 장관은 ""물류센터, 대형 유통업체는 실내 작업장이지만 작업 장소에 따라 외부 온도의 영향을 많이 받아 폭염에 노출되기도 한다""며 ""냉방이나 환기 시설이 제대로 갖춰져 있지 않으면 온열질환 발생 우려가 높으므로 실내 작업장에 대한 온열질환 예방 대책을 충실히 이행해야 한다""고 밝혔다.    노동부 관계자들과 사업주들이 함께 가입한 카카오톡 오픈채팅방 '중대재해 사이렌'에서도 사업장이 준수해야 하는 폭염 관련 안전 수칙을 안내하고 있다.    노동부는 이날 '중대재해 사이렌'에 폭염 특보 상황을 공유하면서 ""당분간 폭염이 지속될 것으로 예상됩니다. 온열질환 예방 가이드에 따라 근로자 보호 조치에 최선을 다해주시기를 바랍니다""고 당부했다.    오픈채팅방 '중대재해 사이렌'의 메시지[화면 캡처]",0
조달청장에게 임명장 수여하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 김윤상 조달청장에게 임명장을 전달한 뒤 손잡고 있다. 2023.8.1,0
관세청장과 기념 촬영하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 고광효 관세청장에게 임명장을 전달한 뒤 기념 촬영을 하고 있다. 2023.8.1,0
산업부 2차관에게 임명장 수여하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 강경성 산업통상자원부 2차관에게 임명장을 전달한 뒤 손잡고 있다. 2023.8.1,0
관세청장에게 임명장 수여하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 고광효 관세청장에게 임명장을 전달한 뒤 손잡고 있다. 2023.8.1,0
공주대 총장과 기념 촬영하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 임경호 공주대학교 총장에게 임명장을 전달한 뒤 기념 촬영을 하고 있다. 2023.8.1,0
공주대 총장에게 임명장 수여하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 임경호 공주대학교 총장에게 임명장을 전달한 뒤 손잡고 있다. 2023.8.1,0
산업부 2차관과 기념 촬영하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 강경성 산업통상자원부 2차관에게 임명장을 전달한 뒤 기념 촬영을 하고 있다. 2023.8.1,0
안동대 총장과 기념 촬영하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 정태주 안동대학교 총장에게 임명장을 전달한 뒤 기념 촬영을 하고 있다. 2023.8.1,0
안동대 총장에게 임명장 수여하는 한덕수 총리,20230801,사회,한덕수 국무총리(왼쪽)가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에서 정태주 안동대학교 총장에게 임명장을 전달한 뒤 손잡고 있다. 2023.8.1,0
차관급 임명장 수여식 참석하는 한덕수 총리,20230801,사회,한덕수 국무총리가 1일 오후 세종시 정부세종청사에서 열린 차관급 임명장 수여식에 참석하고 있다. 2023.8.1,0
"[증시신상품] 거래소, 삼성액티브자산운용 ETF 등 2종목 신규상장",20230801,경제,"한국거래소 황소상[한국거래소 제공]    ▲ 한국거래소는 삼성액티브자산운용과 하나UBS자산운용이 발행한 상장지수펀드(ETF) 2개 종목을 오는 3일 유가증권시장에 상장할 예정이라고 1일 밝혔다. 두 상품은 각각 바이오·헬스케어 업종과 국내 단기금융시장에 투자한다. 삼성액티브자산운용은 2017년 삼성자산운용에서 물적 분할해 설립된 완전 자회사로, ETF 시장에 스물네번째로 진입하게 됐다.",0
"한화진 장관, 청양군 청남면 대흥리 일대 수해복구 봉사활동",20230801,사회,한화진 환경부 장관이 1일 폭우로 큰 피해를 입은 충남 청양군 대흥리 일대를 방문해 수해복구 봉사활동을 하고 있다. 2023.8.1 [환경부 제공. 재판매 및 DB 금지],0
"한화진 장관, 청양군 청남면 대흥리 일대 수해복구 봉사활동",20230801,사회,"한화진 환경부 장관이 1일 폭우로 큰 피해를 입은 충남 청양군 대흥리 일대를 방문, 수해복구 봉사활동에 앞서 김돈곤 청양군수로부터 피해 상황에 대해 설명을 듣고 있다. 2023.8.1 [환경부 제공. 재판매 및 DB 금지]",0
"한화진 장관, 청양군 청남면 대흥리 일대 수해복구 봉사활동",20230801,사회,한화진 환경부 장관이 1일 폭우로 큰 피해를 입은 충남 청양군 대흥리 일대를 방문해 수해복구 봉사활동을 하고 있다. 2023.8.1 [환경부 제공. 재판매 및 DB 금지],0
[르포] 폭염 속 불타는 아스팔트에 선 가로수 전정 작업자들 '헉헉',20230801,생활,"안전모·긴팔·긴바지·목도리까지 땀 '줄줄'…식염·포도당 섭취하며 일가지치기·기계톱 윙윙 자칫하면 사고…""태풍 오기 전에 작업 끝내야 해""    전정 작업을 하고 있는 근로자들[촬영 정종호]  ""보호 장비에 작업복까지 껴입어야 하니 정말 덥습니다.""    1일 낮 12시 40분께 경남 창원시 성산구 은아아파트 뒤편 도로에서 약 3㎏ 무게의 기계톱을 들고 가로수 가지치기에 열중하던 조경업체 대표 정래근(57) 씨는 이같이 말했다.    정씨 업체는 이 아파트 뒤편 약 500ｍ 구간에 있는 목백합 가로수 83그루를 '전정'하기로 성산구청과 계약했다.    전정은 나뭇가지나 줄기 및 잎 일부를 잘라내는 것을 의미한다.    통상 가로수 전정 작업은 태풍이 오기 전에 끝마쳐야 한다.    가지와 잎사귀가 많은 나무는 바람에 흔들려 자칫 무게 중심을 잃고 넘어질 수 있기 때문이다.    폭염이라도 이들이 지금 해당 작업을 할 수밖에 없는 이유다.    이날 창원시 성산구 일대 낮 최고기온은 35도에 육박했다.     안전을 위해 안전모를 쓰고 긴팔·긴바지에 목도리까지 둘러야 해 체감온도는 더욱 뜨거웠다.    정씨는 ""햇볕이 강렬한 데다 잘라낸 나무 부스러기도 튀어 살갗을 보호하려면 어쩔 수 없다""고 설명했다.    작업자 중 일부는 가지치기 후 아스팔트 위에 떨어진 나뭇잎 등을 한곳으로 모으는 약 11㎏ 무게의 블로어(송풍기)까지 몸에 두르고 일을 했다.    블로어(송풍기)를 메고 땅에 떨어진 나뭇가지를 치우는 근로자[촬영 정종호]반소매에 반바지만 입어도 더운 날씨에 작업자들은 그야말로 '기인'처럼 일하는 것이다.    전정 작업은 고소작업차(스카이차)를 탄 작업자 두 명이 약 12m 높이에서 기계톱으로 가지와 잎사귀를 자르는 것으로 시작한다.    이후 나머지 인원들이 잘린 가지와 떨어진 잎을 도로 한쪽으로 모으고 폐기물 처리차가 이를 수거해가는 간단한 과정이다.    하지만 작업 속도는 더딜 수밖에 없다.    가지를 치는 작업자들은 높은 위치에서 톱을 만지다 보니 조금만 방심해도 큰 사고로 이어질 수 있고, 밑에 있는 인원들은 떨어진 나무 파편에 맞을 수 있어 늘 조심해야 하기 때문이다.    거기다 더위까지 겹치니 작업자들은 알약 형태로 된 식염 포도당을 섭취해가며 일했다.    나무 한 그루 작업을 끝낸 작업자 몸에선 금세 땀이 비 오듯 쏟아졌다.    신모(56) 씨는 ""어제 다른 곳에서 작업을 하다 병원에서 링거를 맞았다""며 ""날씨가 더워서 더 힘들다""고 말했다.    내일은 작업 시작 시각마저 늦춰야 해 더 걱정이다.     이날은 비교적 선선한 오전 5시 30분께부터 시작했지만 ""시끄럽다""는 주민 민원 탓에 내일은 오전 7시부터 작업해야 한다.    내일도 낮 최고기온이 35도로 예고돼 있어 그만큼 더운 시간에 일을 더 많이 할 수밖에 없다.    이날 작업자들은 오후 1시까지 약 7시간 동안 26그루를 작업했다.    나머지 57그루는 폭염이 지속되는 오는 3일까지 마무리할 계획이다.",1
"與 ""김은경 '현대판 고려장'·양이원영 2차 가해…더불어망언당""(종합)",20230801,정치,"""노인비하 DNA 화룡점정…성추문마다 2차 가해하더니 어르신 폄훼도 2차 가해""""혁신위, 사과하고 스스로 해체해야…함량 미달 임명 이재명도 연대책임""    민주당 혁신위 청년좌담회  더불어민주당 김은경 혁신위원장이 30일 성동구의 한 카페에서 열린 2030 청년좌담회에서 인사말을 하고 있다. 2023.7.30 hama@yna.co.kr 차지연  국민의힘은 1일 더불어민주당 김은경 혁신위원장과 양이원영 의원의 잇따른 '노인 비하 발언 논란'을 겨냥해 ""더불어망언당""이라며 맹공을 퍼부었다.     김 위원장은 지난달 30일 청년 좌담회에서 '남은 수명에 비례한 투표권 행사가 합리적'이라는 취지의 발언을 했고, 양이 의원은 이날 해당 발언을 거들며 SNS에 '지금 투표하는 많은 이들은 미래에 살아있지도 않을 사람들'이라고 적었다.    김기현 대표는 휴가 중인 이날 페이스북 글에서 ""김 위원장의 발언은 민주당의 노인 무시·노인 비하 DNA의 화룡점정""이라며 ""천벌 받아 마땅할 망언""이라고 비난했다.     김 대표는 ""민주당 혁신위는 김은경 위원장 이하 전원이 국민 앞에 사과하고 모든 직으로부터의 사퇴는 물론, 혁신위를 스스로 해체하는 게 최소한의 도리""라고 강조했다.     또 ""이런 함량 미달 인물을 혁신위원장으로 임명한 이재명 대표는 연대 책임을 져야 마땅하다""고 덧붙였다.     윤재옥 원내대표는 오전 국회에서 열린 원내대책회의에서 ""김 위원장이 진정으로 혁신해야 할 것은 갈등적 세계관으로 우리 사회를 바라보며 표 계산을 앞세워 극단적 국민 분할 지배 전략으로 선거에 접근하는 민주당의 구태""라고 지적했다.     이철규 사무총장도 ""김 위원장의 '현대판 고려장' 노인 폄훼 발언을 규탄한다""며 ""노인들을 폄훼하고 노인들의 존재를 부정하고 대한민국의 건국과 번영을 이룩해놓은 기성세대들을 부정하는 망언""이라고 비판했다.    이 총장은 ""민주당의 어르신 폄훼 발언은 이번이 처음이 아니다""라며 정동영 전 대표의 '60대·70대는 투표를 안 해도 된다, 집에서 쉬셔도 된다', 유시민 전 노무현재단 이사장의 '60대가 되면 뇌가 썩는다' 등의 발언을 언급했다.    그는 ""습관성 모독에 중독된 김 위원장에게 민주당이 계속 미래를 맡긴다면 민주당 스스로가 패륜 정당임을 인정하는 꼴""이라고 지적했다.     박수영 의원은 페이스북 글에서 ""공동체야 갈라지고 깨지든 상관없고 표만 얻으면 된 다는 저급한 심보""라며 ""이재명의 혁신위원장이니 기대는 안 했지만, 선을 넘어도 한참 넘었다""고 비난했다.     장동혁 원내대변인은 논평에서 ""임시방편이나마 민주당을 혁신하고자 한다면 이 대표와 김 위원장이 그 자리에서 내려오는 게 답""이라며 ""혁신의 간판을 걸고 반(反)혁신의 길로 질주하는 민주당을 국민과 함께 지켜볼 것""이라고 강조했다.     유승민 전 의원도 페이스북에 ""단순히 노인 폄하 차원을 넘어 인간의 존엄과 가치, 그리고 민주주의와 공화주의 차원에서 심각한 문제가 있는 망언""이라고 지적했다.    박대출 정책위의장은 양이 의원의 발언과 관련, 페이스북에서 ""이제는 '더불어망언당'이냐""며 ""잘못했으면 백배사죄해서 풀 일이지, 적반하장이 사태를 수습 불능으로 몰고 간다""고 비판했다.     황규환 수석부대변인도 논평에서 ""온갖 성 추문이 터질 때마다 가해자를 두둔하며 2차 가해에 나섰던 민주당이, 이제는 하다 하다 어르신 폄훼에도 2차 가해를 이어가고 있다""고 비난했다.",92
[그래픽] 우크라이나 러 본토 장거리 드론공습 일지,20230801,세계,러시아 수도 모스크바가 이틀 만에 또다시 드론(무인기) 기습 공격을 받았다.    리아노보스티 통신은 1일 새벽(현지시간) 모스크바의 고층 비즈니스 센터 건물이 드론 공격을 받아 1개 층이 손상됐다고 보도했다.,1
"광주소방본부, 소방법 위반 45건 적발…작년보다 2.5배 증가",20230801,사회,"""불이 났을 때 비상구는 생명의 문""[광주 광산소방서 제공. 재판매 및 DB 금지]      광주시 소방안전본부는 올해 1∼7월 소방관계법령 위반 대상 45건을 적발했다고 1일 밝혔다.    지난해 같은 기간 적발된 18건보다 2.5배 증가했으며 이 중 31건을 소방 특별사법경찰이 검찰에 송치했다.    유형별로는 소방시설법 위반이 32건으로 가장 많았고 위험물안전관리법 6건, 소방기본법 4건, 화재예방법 3건 순이었다.    소방시설법 위반 사례는 특정 소방대상물에 대한 자체 점검 미이행이나 비상문 잠금·폐쇄 등이다.    위험물안전관리법 위반은 위험물 제조소 등에서 완공 검사에 합격하기 전 위험물을 저장·취급하는 경우 등이다.     소방기본법 위반은 현장에 출동한 구급대원에게 폭력을 행사하는 경우 등이 속한다.    화재예방법 위반은 대상물에 대한 소방 안전관리자를 선임하지 않은 사례 등이다.    김종률 광주소방안전본부 방호예방과장은 ""소방시설법 개정으로 화재 안전 관리가 한층 강화됐다""며 ""국민 안전을 위해 관련 법령을 준수해 달라""고 당부했다.",0
"삼성전자, '세상에 없는' 제품 발굴한다…미래기술사무국 신설(종합)",20230801,경제,"디바이스경험 부문 조직 개편…AI 기반 차별화된 제품 개발 추진    서울 삼성전자 서초사옥 모습[연합뉴스 자료사진]  삼성전자가 '세상에 없는' 기술과 제품을 발굴하기 위해 미래기술사무국을 신설하는 등 조직 개편에 나섰다.    경기 불황 장기화로 실적이 부진한 가운데 분위기를 쇄신하는 한편, 초격차 기술을 확보해 미래 먹거리를 선점하기 위한 취지로 풀이된다.    1일 업계에 따르면 삼성전자 디바이스경험(DX) 부문은 이날부로 DX 부문 직속으로 미래기술사무국을 신설했다. 미래기술사무국장은 김강태 삼성리서치(SR) 기술전략팀장(부사장)이 겸임한다.    미래기술사무국은 미래 신기술과 제품 확보를 위한 DX 부문의 콘트롤타워 역할을 하게 된다.    앞서 이재용 회장은 지난해 10월 회장 취임 일성으로 ""창업 이래 가장 중시한 가치가 인재와 기술""이라며 ""세상에 없는 기술에 투자해야 한다""고 강조한 바 있다.     삼성전자는 이를 위해 SR 직속으로 이머징 테크팀, 주요 사업부 직속으로 이머징 테크그룹을 각각 신설해 미래 신기술을 발굴하고 로드맵을 수립하는 한편 제품별 신규 폼팩터 개발 등에 나설 계획이다.    이와 함께 영상디스플레이(VD)사업부는 프로젝터와 로봇을 결합한 '무버블(Movable) 프로젝트' 사업화를 추진하기 위해 관련 기획·개발·검증 전 단계를 책임지는 전담 조직을 운영한다.    생활가전사업부는 가전제품 인공지능(AI)화를 위한 AI 전략·로드맵을 제시하는 'AI 전략 파트'를 신설한다.    이 밖에 SR은 차세대가전연구팀 산하에 '스마트홈AI 랩' 조직을 신설, AI를 기반으로 하는 차별화된 가전제품과 서비스 관련 선행 연구개발을 추진한다.    [그래픽] 삼성전자 R&D 투자 규모 추이  minfo@yna.co.kr    트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1    삼성전자는 경기 침체 속에서도 초격차 기술 확보를 위한 연구개발(R&D) 강화에 힘을 싣고 있다.    삼성전자의 올해 2분기 R&D 투자 규모는 작년 동기 대비 15.2% 증가한 7조2천억원으로 역대 최대 규모다. 이는 2분기 영업이익(6천685억원)의 10배가 넘는 수준이다.     반도체 사업을 담당하는 디바이스솔루션(DS) 부문의 경우 업황 악화에 따른 실적 부진에도 올해 R&D 인력 확대, 웨이퍼 투입 증가 등을 통해 R&D 투자를 강화하기로 했다.    경계현 DS부문장(사장)은 지난 4월 경영 현황 설명회에서 ""올해는 개발에서 웨이퍼 투입을 증가시켜 미래 제품의 경쟁력에서 더 앞서갈 수 있도록 준비하겠다""고 밝혔다.    이는 그동안 이 회장이 ""미래 기술에 우리의 생존이 달려있다""며 연일 기술의 중요성과 과감한 도전을 강조해온 것과도 무관하지 않다.     이 회장은 지난해 6월 유럽 출장을 마친 소회로 ""아무리 생각해봐도 첫 번째도 기술, 두 번째도 기술, 세 번째도 기술 같다""며 기술 확보의 중요성을 강조했다.    이어 같은 해 8월에는 복권 후 첫 공식 행보로 기흥 반도체 R&D단지 기공식에 참석해 ""기술 중시, 선행 투자의 전통을 이어 나가자. 세상에 없는 기술로 미래를 만들자""고 당부했다.    이 회장은 회장 취임 당시 미래의 삼성을 ▲ 꿈과 상상을 현실로 만드는 기업 ▲ 끊임없이 새로운 세계를 열어가는 기업 ▲ 세상에 없는 기술로 인류사회를 풍요롭게 하는 기업이라고 제시하기도 했다.",2
tvN 예능 '형따라 마야로: 아홉 개의 열쇠' 제작발표회,20230801,연예,"1일 서울 마포구 서울가든호텔에서 열린 tvN 새 예능 '형따라 마야로: 아홉 개의 열쇠' 제작발표회에서 출연진들이 포즈를 취하고 있다. 왼쪽부터 배우 김선균, 방글이 PD, 배우 차승원, 그룹 더보이즈 주연. 2023.8.1 [tvN 제공. 재판매 및 DB 금지]",14
中 베이징 폭우에 11명 사망·27명 실종…이재민 4만5천명(종합),20230801,세계,"수도권 곳곳 침수·주민 고립…6호 태풍 카눈 상륙에 긴장    물에 잠긴 길 걷는 베이징 시민[로이터=연합뉴스]    (선양·베이징=연합뉴스) 박종국 한종구  제5호 태풍 '독수리' 상륙으로 중국 수도 베이징에 사흘 동안 폭우가 쏟아지면서 11명이 숨지고 27명이 실종됐다.    1일 중국중앙TV(CCTV)에 따르면 베이징시 홍수·가뭄 대응 지휘부는 1일 오전 6시(현지시간) 기준 구조 작업에 투입됐던 소방대원과 공산당 간부 2명을 포함해 모두 11명이 숨졌다고 밝혔다.    실종자는 구조 작업에 투입됐다가 강한 물살에 휩쓸린 민간 구조대원 4명 등 모두 27명으로 집계됐다.    사망자와 실종자는 베이징 서부와 남부의 먼터우거우구, 창핑구, 팡산구 등에 집중됐다.    베이징 기상당국에 따르면 태풍 독수리의 직접적인 영향권에 든 지난달 29일부터 이날 오전까지 내린 비의 양은 평균 257.9㎜다.    먼터우거우구가 470.2㎜로 가장 많았고, 팡산구 414.6㎜, 창핑구 285.8㎜ 등이다.    중국 베이징 폭우 피해 현장[웨이보 캡처. 재판매 및 DB 금지]    중국 소셜미디어(SNS) 웨이보에는 한꺼번에 많은 비가 쏟아지면서 도로와 주택이 물에 잠기고, 차량 수십 대가 강한 물살에 떠내려가는 영상이 올라왔다.    특히 베이징 서부 펑타이구에서는 교량 가운데 부분이 붕괴돼 다리 양쪽에서 수십 대의 차량이 멈춰 서 있는 사진과 영상도 있었다.    흙탕물이 어른 허리까지 차오르거나 종점에 주차된 수십대의 버스가 물에 절반 이상 잠겨있는 등 흡사 재난영화를 방불케 하는 장면도 있다.    베이징 당국은 이번 폭우로 13개 구에서 4만4천673명의 이재민이 발생했고, 12만7천여명이 집을 떠나 긴급 대피했다고 전했다.    곳곳이 침수되면서 주민들이 고립되는 경우도 속출했다.    중국 매체 남방주말(南方周末)에 따르면 허베이성 줘저우시의 한 마을 주민 150여명은 전날 오후 10시를 전후해 고립됐다. 강 상류가 넘치면서 마을에 시간당 15㎝가량씩 물이 차올랐기 때문이다.    대부분 노인인 이 마을 주민들은 건물 2층 위로 피신한 상태로, 현지 당국은 보트가 진입하기 어려워 구조에 어려움을 겪고 있다고 밝혔다.    침수된 허베이성 줘저우시의 마을[웨이보 캡처. 재판매 및 DB 금지]    태풍 독수리의 위력은 약해졌지만, 이미 쏟아진 비에 하천 수위가 높아진 상태라 중국 수도권 지역에 추가 피해가 생길 가능성도 배제할 수 없다.    하이허(海河) 유역 홍수·가뭄 대응 지휘부는 이날 오후 1시를 기해 홍수 대응 단계를 2급에서 1급으로 격상했다. 화이허 유역에 속한 베이징 북부 화이러우댐은 이날 중 수위 조절을 위해 수문을 열 것으로 알려져 침수 지역이 더 늘어날 수도 있다.    시진핑 중국 국가주석은 이날 ""최근 태풍 독수리의 영향으로 화베이(華北·베이징과 톈진, 허베이성, 산시<山西>성 등 북부 지역)와 황화이(黃淮·허난성 중부와 안후이성 북부 등 황허강 유역) 등에 막대한 비가 내려 홍수·침수와 지질 재해로 이어졌고, 베이징과 허베이 등에는 중대한 인명 피해가 발생했다""고 말했다.    그는 ""각 지역은 전력을 다해 실종자와 이재민을 구조하고, 부상자 치료와 피해자 가족 위로를 잘 해 인명 피해를 최대한 줄여야 한다""며 ""이재민을 적절히 수용하고 교통·통신·전력 등 손실된 기간시설 회복에 힘써 가능한 한 빨리 정상적인 생산·생활 질서를 회복시키라""고 방재당국에 지시했다고 관영 신화통신은 전했다.    중국 당국은 북상 중인 다음 태풍에도 촉각을 곤두세우고 있다.    제6호 태풍 '카눈'은 이날 오전 일본 오키나와 동남쪽 285㎞ 북서 태평양 해상에서 시속 20㎞로 북상하고 있으며 2일 오전 중국 동남부 저장성과 푸젠성 북부 해안으로 접근한 뒤 중국에 상륙할 것으로 예상된다.    중앙기상대는 ""중국에 상륙한 뒤 이동 경로는 불확실하다""며 ""카눈의 영향으로 중국의 남해와 동해 일대에 강한 돌풍이 불 것을 예상되므로 안전에 유의해야 한다""고 당부했다.    중국 베이징 폭우 피해 현장[웨이보 캡처. 재판매 및 DB 금지",5
